Gene stable ID	NCBI gene (formerly Entrezgene) ID	HGNC symbol	Chromosome/scaffold name
ENSG00000210049		MT-TF	MT
ENSG00000211459		MT-RNR1	MT
ENSG00000210077		MT-TV	MT
ENSG00000210082		MT-RNR2	MT
ENSG00000209082		MT-TL1	MT
ENSG00000198888	4535	MT-ND1	MT
ENSG00000210100		MT-TI	MT
ENSG00000210107		MT-TQ	MT
ENSG00000210112		MT-TM	MT
ENSG00000198763	4536	MT-ND2	MT
ENSG00000210117		MT-TW	MT
ENSG00000210127		MT-TA	MT
ENSG00000210135		MT-TN	MT
ENSG00000210140		MT-TC	MT
ENSG00000210144		MT-TY	MT
ENSG00000198804	4512	MT-CO1	MT
ENSG00000210151	113219467	MT-TS1	MT
ENSG00000210154		MT-TD	MT
ENSG00000198712	4513	MT-CO2	MT
ENSG00000210156		MT-TK	MT
ENSG00000228253	4509	MT-ATP8	MT
ENSG00000198899	4508	MT-ATP6	MT
ENSG00000198938	4514	MT-CO3	MT
ENSG00000210164		MT-TG	MT
ENSG00000198840	4537	MT-ND3	MT
ENSG00000210174		MT-TR	MT
ENSG00000212907	4539	MT-ND4L	MT
ENSG00000198886	4538	MT-ND4	MT
ENSG00000210176		MT-TH	MT
ENSG00000210184		MT-TS2	MT
ENSG00000210191		MT-TL2	MT
ENSG00000198786	4540	MT-ND5	MT
ENSG00000198695	4541	MT-ND6	MT
ENSG00000210194		MT-TE	MT
ENSG00000198727	4519	MT-CYB	MT
ENSG00000210195		MT-TT	MT
ENSG00000210196		MT-TP	MT
ENSG00000278457			KI270442.1
ENSG00000278704			GL000009.2
ENSG00000271254	102724250		KI270711.1
ENSG00000280538			CHR_HSCHR2_2_CTG1
ENSG00000275151			CHR_HSCHR5_2_CTG1
ENSG00000278294	124907156		KI270442.1
ENSG00000278294	124907485		KI270442.1
ENSG00000278294	124908250		KI270442.1
ENSG00000281806			CHR_HSCHR2_2_CTG1
ENSG00000279969			CHR_HSCHR5_2_CTG1
ENSG00000281362	339822		CHR_HSCHR2_2_CTG1
ENSG00000274882		LINC02109	CHR_HSCHR5_2_CTG1
ENSG00000277995			CHR_HSCHR5_2_CTG1
ENSG00000281486	54221	SNTG2	CHR_HSCHR2_3_CTG1
ENSG00000262826	65123	INTS3	CHR_HSCHR1_1_CTG31
ENSG00000273735	3812	KIR3DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000280663	55251	PCMTD2	CHR_HSCHR20_1_CTG3
ENSG00000276433	115653	KIR3DL3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276379	3811	KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000278788	22904	SBNO2	CHR_HSCHR19_4_CTG2
ENSG00000273947	3804	KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000276595	374308	PTCHD3	CHR_HSCHR10_1_CTG1
ENSG00000274861	79166	LILRP2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000275442	79166	LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000276518		KIR3DP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276779	3805	KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000276779	124900568	KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000278152	100132285	KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000278152	124900573	KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000278152	124900575	KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000274339		LILRP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000275336			CHR_HSCHR10_1_CTG1
ENSG00000277484	3804	KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000277044	4987	OPRL1	CHR_HSCHR20_1_CTG3
ENSG00000276777		ODAD2P1	CHR_HSCHR10_1_CTG1
ENSG00000273775	3811	KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000277267	79166	LILRP2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000273681		FAM210CP	CHR_HSCHR10_1_CTG1
ENSG00000278364		TRIAP1P1	CHR_HSCHR10_1_CTG1
ENSG00000273501			CHR_HSCHR10_1_CTG1
ENSG00000276858	2204	FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000278036			CHR_HSCHR10_1_CTG1
ENSG00000277339	2832	NPBWR2	CHR_HSCHR20_1_CTG3
ENSG00000276534	3813	KIR3DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000280579			CHR_HSCHR1_4_CTG31
ENSG00000280695			CHR_HSCHR20_1_CTG3
ENSG00000277921		LILRP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000276044	3805	KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000276044	124900568	KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000276970			CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000276876	4661	MYT1	CHR_HSCHR20_1_CTG3
ENSG00000275717	3811	KIR3DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
ENSG00000277554	3804	KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000280708			CHR_HSCHR1_4_CTG31
ENSG00000277272	3811	KIR3DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000278074	3805	KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000278074	124900568	KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000281416			CHR_HSCHR1_4_CTG31
ENSG00000275974	728945	PPIAL4F	CHR_HSCHR1_4_CTG31
ENSG00000276885	3809	KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000262025			CHR_HSCHR1_1_CTG31
ENSG00000263275			CHR_HSCHR1_1_CTG31
ENSG00000273510	3802	KIR2DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000262299			CHR_HSCHR1_1_CTG31
ENSG00000280460			CHR_HSCHR1_4_CTG31
ENSG00000262767		GEMIN2P1	CHR_HSCHR1_1_CTG31
ENSG00000275786	3811	KIR3DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000274714	3809	KIR2DS4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000274574	124904616		CHR_HSCHR1_4_CTG31
ENSG00000261992	57459	GATAD2B	CHR_HSCHR1_1_CTG31
ENSG00000282507			CHR_HSCHR7_2_CTG7
ENSG00000273990	124904624	RNVU1-26	CHR_HSCHR1_4_CTG31
ENSG00000277334	9437	NCR1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
